model_type,config,avg_perplexity,std_perplexity,min_perplexity,max_perplexity,valid_count,total_count
fine-tuned,fine-tuned,,,,,10,10
rag,BAAI/bge-large-en_pq,9.679044198989867,3.1310302891829904,6.880237102508545,14.650017738342285,10,10
rag,all-MiniLM-L6-v2_pq,8.066930532455444,1.7860312193013723,5.289767265319824,11.887990951538086,10,10
rag,BAAI/bge-large-en_vq,11.460403966903687,6.751362448263705,6.745739459991455,29.26296615600586,10,10
rag,BAAI/bge-large-en_ivf,9.674023151397705,2.2698135421077184,6.342109203338623,13.096802711486816,10,10
rag,all-MiniLM-L6-v2_vq,7.166888332366943,2.1513169683998634,5.336455345153809,13.290861129760742,10,10
rag,all-MiniLM-L6-v2_ivf,8.913817071914673,4.617007975756996,5.2685041427612305,19.714853286743164,10,10
rag,BAAI/bge-large-en_hnsw,7.651102209091187,2.5309739940113714,4.159701824188232,11.656994819641113,10,10
rag,BAAI/bge-large-en_flat,11.051916360855103,6.2730311463026105,3.53607177734375,21.912841796875,10,10
rag,all-MiniLM-L6-v2_hnsw,15.862215900421143,13.806866160829163,4.622232437133789,47.248260498046875,10,10
rag,all-MiniLM-L6-v2_flat,9.438512706756592,8.222745778749061,3.347715139389038,32.785579681396484,10,10
