embedding_model,index_type,avg_retrieval_time,std_retrieval_time,avg_generation_time,std_generation_time,avg_total_time,std_total_time,avg_context_size,std_context_size,avg_answer_length,std_answer_length,model_type
all-MiniLM-L6-v2,flat,0.049277631441752116,0.04004923141168991,4.97533278465271,1.1462933152852768,5.024610416094462,1.154094524884695,1508.0,0.0,3157.266666666667,359.24537127374265,rag
all-MiniLM-L6-v2,hnsw,0.007346010208129883,0.002403737632536438,4.913785044352213,1.3556254694983556,4.921131054560344,1.3558851601536552,1508.0,0.0,3103.5666666666666,408.0058048381288,rag
all-MiniLM-L6-v2,pq,0.005748883883158366,0.0007592993633498068,5.319952400525411,0.734414759004377,5.325701284408569,0.7344667243348213,1470.3,77.63049081030131,3205.4,229.45686996124957,rag
all-MiniLM-L6-v2,ivf,0.005887389183044434,0.0025525048752426927,4.667730553944906,1.3417240795176928,4.67361794312795,1.3406498298999472,1508.0,0.0,3044.2,361.96374365969024,rag
all-MiniLM-L6-v2,vq,0.0060120026270548505,0.0024632356630056047,4.852579283714294,1.4281796814312555,4.858591286341349,1.428583394355415,1508.0,0.0,3007.4666666666667,417.09014434022185,rag
BAAI/bge-large-en,flat,0.22442794640858968,0.16562182551429414,4.851898527145385,1.6153994763152877,5.0763264735539755,1.5873157049296172,1421.5,152.41860462057366,2968.3333333333335,398.4117029624899,rag
BAAI/bge-large-en,hnsw,0.01872751712799072,0.0073085111225798735,5.23229197661082,0.9034827716892474,5.25101949373881,0.9048474784214668,1439.7,150.72929605639104,3160.5333333333333,310.35660616217876,rag
BAAI/bge-large-en,pq,0.015162197748819987,0.0013160045992661011,5.022062118848165,1.3198789515387643,5.037224316596985,1.3201092618000947,1471.0,75.37629738118311,3134.0333333333333,368.15200040512997,rag
BAAI/bge-large-en,ivf,0.015913120905558267,0.0021207435797848053,5.194106904665629,1.1153763101596523,5.210020025571187,1.1147509985325634,1486.9,64.38212966879594,3112.0,335.5313850369702,rag
BAAI/bge-large-en,vq,0.015487066904703776,0.003848211593035738,5.00343017578125,1.2040167804252113,5.018917242685954,1.2022422258182175,1472.9,72.56737654022663,3100.5333333333333,348.2223559672789,rag
,,,,50.703072079022725,44.848531874167456,50.703072079022725,44.848531874167456,,,9027.9,8306.046847389827,fine-tuned
