embedding_model,index_type,avg_retrieval_time,std_retrieval_time,avg_generation_time,std_generation_time,avg_total_time,std_total_time,avg_context_size,std_context_size,avg_answer_length,std_answer_length,model_type
all-MiniLM-L6-v2,flat,0.08633073965708414,0.23026504428590885,4.260680508613587,2.016547565367137,4.347011248270671,2.027043712203504,1508.0,0.0,663.5,520.483445693885,rag
all-MiniLM-L6-v2,hnsw,0.007015585899353027,0.002214685255800916,4.593348940213521,1.7969701981216748,4.600364526112874,1.7973601909034933,1508.0,0.0,674.7,469.53962412206454,rag
all-MiniLM-L6-v2,ivf,0.006583603223164877,0.002640036098281796,4.227529978752136,2.036455702416289,4.2341135819753015,2.0369685179434027,1508.0,0.0,749.3333333333334,542.7764722706528,rag
all-MiniLM-L6-v2,vq,0.006128478050231934,0.003236837329491539,4.143874653180441,2.0666841055808183,4.150003131230672,2.0672556903431123,1508.0,0.0,611.7666666666667,484.4714634016896,rag
BAAI/bge-large-en,flat,0.11741177241007487,0.05817088425996986,5.008455276489258,1.3850402252365719,5.125867048899333,1.3725048109720324,1474.9,67.74869893139315,724.7,446.6492992849358,rag
BAAI/bge-large-en,hnsw,0.019235817591349284,0.0069972896333446045,4.528561560312907,2.286733000049799,4.547797377904256,2.287496335303574,1453.9,85.19160959171734,618.7666666666667,476.56614284456583,rag
BAAI/bge-large-en,ivf,0.015025504430135091,0.004653203050926619,4.578905606269837,1.9432205631748902,4.593931110699971,1.9440339896594165,1508.0,0.0,648.0333333333333,552.5651456886192,rag
BAAI/bge-large-en,vq,0.01517017682393392,0.005782035532863934,4.796593777338663,1.413167352319006,4.811763954162598,1.4108847978526138,1508.0,0.0,608.3333333333334,422.0132644861994,rag
,,,,6.443949635823568,1.373526371283823,6.443949635823568,1.373526371283823,,,1179.5,283.59450775285865,fine-tuned
